,lat,lng,n_agg
572,42.3641,-71.0316,2
573,42.3642,-71.103,1
574,42.3642,-71.102,1
575,42.3642,-71.1013,1
576,42.3642,-71.0554,1
577,42.3642,-71.0545,1
578,42.3643,-71.1015,2
579,42.3644,-71.0554,1
580,42.3645,-71.1042,2
581,42.3645,-71.0535,1
582,42.3646,-71.1977,1
583,42.3646,-71.1132,1
584,42.3646,-71.0557,1
585,42.3646,-71.0534,2
586,42.3647,-71.0538,2
587,42.3648,-71.1832,1
588,42.3648,-71.1667,1
589,42.3649,-71.1058,1
590,42.3649,-71.1024,1
591,42.3649,-71.0827,1
592,42.365,-71.0554,1
593,42.3651,-71.0556,1
594,42.3651,-71.0532,1
595,42.3653,-71.2186,1
596,42.3654,-71.1815,1
597,42.3654,-71.0586,1
598,42.3654,-71.0569,2
599,42.3656,-71.0527,1
600,42.3657,-71.0528,2
601,42.3658,-71.1836,1
602,42.3658,-71.1035,1
603,42.3661,-71.0551,1
604,42.3662,-71.0914,1
605,42.3662,-71.0908,1
606,42.3662,-71.0779,1
607,42.3663,-71.1826,1
608,42.3663,-71.1825,1
609,42.3664,-71.1853,1
610,42.3664,-71.0781,1
611,42.3665,-71.1855,1
612,42.3665,-71.078,1
613,42.3666,-71.1055,1
614,42.3666,-71.0902,1
615,42.3673,-71.0357,1
616,42.3678,-71.1788,1
617,42.3678,-71.1078,1
618,42.3678,-71.098,1
619,42.368,-71.2374,1
620,42.368,-71.237,1
621,42.3681,-71.1569,1
622,42.3682,-71.2375,2
623,42.3682,-71.2374,1
624,42.3683,-71.161,1
625,42.3683,-71.1577,1
626,42.3688,-71.1098,1
627,42.3688,-71.0951,1
628,42.3693,-71.1108,1
629,42.3694,-71.1123,2
630,42.3694,-71.111,1
631,42.3701,-71.1596,1
632,42.3703,-71.2369,1
633,42.3703,-71.1935,1
634,42.3704,-71.2207,1
635,42.3706,-71.0971,1
636,42.3708,-71.1583,1
637,42.3708,-71.1136,1
638,42.371,-71.1586,1
639,42.371,-71.158,1
640,42.3712,-71.1145,1
641,42.3713,-71.1165,1
642,42.3715,-71.1786,1
643,42.3716,-71.0836,1
644,42.3717,-71.2369,2
645,42.3717,-71.1204,1
646,42.3718,-71.1208,1
647,42.3719,-71.1209,2
648,42.3719,-71.0876,2
649,42.3719,-71.0857,1
650,42.372,-71.1202,1
651,42.3721,-71.0869,2
652,42.3722,-71.1233,1
653,42.3722,-71.1209,1
654,42.3722,-71.1159,2
655,42.3722,-71.1158,1
