,name,lat,lng
314,Acitron Cocina Mexicana,42.415458,-71.151845
315,Volare Restaurant and Bar,42.41021,-71.01247
316,Nino's Restaurant & Bar,42.4096673,-71.0011516
317,The Brown Jug,42.4032536388909,-71.0229346257841
318,Short Path Distillery,42.40532,-71.06652
319,Mystic Station,42.4272503,-71.0708219
320,El Potro Mexican Grill,42.4193088,-71.0799949
321,Tony C's Sports Bar & Grill,42.3956879,-71.0791112306885
322,Daddy Jones,42.3969234,-71.1037934
323,Bocelli's,42.4053891,-71.1078459
324,Semolina Kitchen & Bar,42.4039394519851,-71.1144609548577
325,Orleans Restaurant,42.39834,-71.1237
326,Joe Sent Me,42.39693,-71.12996
327,Menotomy Grill & Tavern,42.4016408567533,-71.1367659924041
328,PJ Ryans,42.4027913659512,-71.1267472959306
329,Sugo Cucina Italiana,42.4047633077242,-71.1413237288812
330,The Marina Restaurant & Bar At the Wharf,42.43091,-70.97926
331,D'Amelio’s Restaurant,42.41863,-70.99898
332,Exchange Street Bistro,42.426597,-71.0693916
333,Habesha Ethiopian Restaurant,42.4288127989661,-71.0668732970953
334,District Kitchen,42.42765,-71.07362
335,Town Tavern,42.406007,-71.1422058
336,Jimmy's Steer House,42.421903,-71.17244
337,Rossetti Restaurant,42.4641664,-70.9494492
338,Turner Seafood Grill,42.455642,-71.065269
339,Oliveira's Restaurant,42.4157,-71.04738
340,Hugh O'Neill's Restaurant & Pub,42.426764,-71.0684984
341,3 Amigos Bar & Grill,42.425859,-71.067301
342,Salvatore's Restaurant,42.4187248,-71.1115534
